微博表情,emoji 表情,表情定义,网址,是否不同
[蜡烛],蜡烛,常用来表示祈祷、祷告、纪念。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%95%AF%EF%B8%8F,
[喵喵],奸笑的猫,可以用于使坏和调皮或者轻松有趣的场景，但是使坏的意思更加隐秘。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%BC,
[抓狂],累,它一般用来表示疲惫、焦虑、厌烦甚至崩溃的情绪。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%AB,
[偷笑],不说,在网络上，人们一般用来表达窃喜、偷笑、羞涩的笑或者开心的情绪。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%A4%AD,
[怒],怒火中烧,表示生气、憎恨、严肃，但程度比要高，当你感到有被冒犯到的时候甚至可以用它表示警告和命令。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%A1,
[坏笑],龇牙咧嘴,它表达出强颜欢笑或者紧张的情绪。在网络上，也会用来表示向他人请求帮助时不好意思的情绪，或者等同于“嘻嘻嘻”的感觉。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%AC,
[感冒],感冒,经常用于表示本人感到身体不适或者提醒注意传染病，也可用来指代医疗卫生工作者。在Covid-19新冠疫情时期，它常用来表示提醒戴口罩、警示戴口罩的重要性。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%B7,
[怒骂],嘴上有符号的脸,表示生气、憎恨、严肃,https://www.emojiall.com/zh-hans/emoji/%F0%9F%A4%AC,
[话筒],录音室麦克风,一般表示话筒、麦克风，还可以表示演讲、演唱会、歌手、广播、音乐的意思,https://www.emojiall.com/zh-hans/emoji/%F0%9F%8E%99,
[赞],拇指向上,通常用来表示赞同或赞许的意思，也常表示很棒、厉害、干得漂亮。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%91%8D%EF%B8%8E,
[加油],肌肉,通常代表身体的强壮或是强大的力量，也用于鼓励某人完成某些困难或者当你做得很好或者赢得了某些东西时。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%92%AA,
[吃瓜],西瓜,瓜“常用来表示”某个热点八卦事件“，“吃瓜”这一说法据说是源于在火车/戏院等场所中“前排出售瓜子，前排吃瓜子，前排吃瓜”的吆喝演变而来，“瓜子”后转变为了西瓜。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%8D%89,
[弱],拇指向下,通常用来表达踩、反对、不行或者下降的意思，也可以用来鄙视、侮辱、挑衅对方。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%91%8E,
[微笑],呵呵,它看起来只是轻微的微笑，由于笑容太浅，让人感觉还有点不安。有时表达成简单的认同对方或表示友好；但有时候也被用于消极和不安或讽刺的情景中。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%99%82,
[嘻嘻],嘻嘻,笑脸表情表达快乐、幸福，有是也用来表示同意或满意。当你想表现出温暖、舒适的幸福时，那么它就是你的最佳选择。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%81,
[拳头],举起拳头,通常用来表示力量、权力、信仰、发誓或行动的意思，据统计，它出现在抗议的话题中的频次非常高，可见人们常它用来表示抗议、发起和号召的意思。,https://www.emojiall.com/zh-hans/emoji/%E2%9C%8A,
[太阳],微笑的太阳,通常用来指太阳，也可以代表晴天、高温、正能量、好心情。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%8C%9E,
[失望],沉思,能传播各种悲伤的情绪，包括失望、受伤、抱歉、忧伤、担忧或者孤独。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%94,
[爱你],飞吻,一般以亲切的方式来表达晚安和再见；或者是亲亲、亲吻；也可能带有调情的意味。表达的爱意更加浓烈。它不仅可以用在恋人身上，也可以用在对亲戚朋友和宠物身上。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%98,
[伤心],心碎,一般表示用来伤心、心碎，还可以表示失恋、相思病、感情破裂、离婚的意思。这个emoji代表着难过的情绪,https://www.emojiall.com/zh-hans/emoji/%F0%9F%92%94,
[笑哈哈],哈哈,它意味着幸福、兴奋、积极、善意或同意。我们可以用它来表达对对方想法的支持，并做出积极的反应，但它更主要用于表达快乐。这个表情符号可以很好的表达出对对方的热情，也可以用于幽默场合。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%84,
[吃惊],震惊,通常用来表达震惊或惊讶，也带有关心、佩服或兴奋的意思。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%B2,
[鲜花],玫瑰,一般指代玫瑰花或者月季这种花卉，更多用来表示爱情、追求、浪漫，有时候也会指代女性。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%8C%B9,
[泪],放声大哭,表达了极度的悲伤和难过，也可以表达相反的意思，比如喜极而泣。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%AD,
[跪了],下跪者,它一般表示下跪,https://www.emojiall.com/zh-hans/emoji/%F0%9F%A7%8E,
[航天员],宇航员,一般指宇航员、太空人或者航天工作者。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%A7%91%E2%80%8D%F0%9F%9A%80,
[心],红心，爱心,一般表示爱情，也可以表示喜欢、爱意、浪漫的意思。尤其在情人节期间，用它来表示对另一半的爱。,https://www.emojiall.com/zh-hans/emoji/%E2%9D%A4,
[可怜],恳求的脸,表达怜悯、乞求、委屈、悲伤、内疚、可爱或感动等多种情绪......最近网络上会用这个emoji来表达阴阳怪气的同情。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%A5%BA,
[费解],挑眉,能表达各种各样的情感，包括有：怀疑、关心、挑衅、轻微惊讶、考虑或者做怪相。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%A4%A8,
[哈哈],哈哈,最受欢迎的表情符号之一，它意味着幸福、兴奋、积极、善意或同意。我们可以用它来表达对对方想法的支持，并做出积极的反应，但它更主要用于表达快乐。这个表情符号可以很好的表达出对对方的热情，也可以用于幽默场合。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%83,
[傻眼],脸红,一副惊讶和尴尬的表情。通常表现出尴尬或目瞪口呆的情绪。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%B3,
[可爱],羞涩微笑,表示你真的很快乐或幸福，也略带着一点浪漫意味。它一般用于较为亲密和熟络的朋友，或有好感的异性。有时为了表现出或提升更好的氛围也会使用。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%8A,
[笑cry],笑哭了,这是笑哭表情符号、LOL脸或CWL脸。因为笑得太厉害了而流下一滴眼泪，有时又像是苦笑。是最流行的表达乐趣、强烈喜悦还有尴尬的emoji之一。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%82,
[疑问],问号,表达了强烈的疑问。在遇到无法理解的问题或是匪夷所思的新闻中可能会出现。比单纯的?更增加了强调与不可思议的含义，增加了吸引力。有时会多个连续使用加强疑问的感情色彩。,https://www.emojiall.com/zh-hans/emoji/%E2%9D%93%EF%B8%8F,
[作揖],双手合十,它通常代表祈祷、祈福、祈求或是感谢，有时也用来表示悲伤、遗憾或是拜托的意思。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%99%8F,
[微风],风吹叶落,一般表示飘动的绿叶，它更多的用来表示大自然、生趣、清新的意思。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%8D%83,
[抱抱],抱抱,它可以用来表示感谢、爱、关心、温暖、拥抱或者可爱。它也会被用来表示欢迎和喜爱。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%A4%97,
[馋嘴],好吃,一般用于表达你的味蕾被美食所征服，又或者是表达一种傻傻的快乐，还可以用来表示做鬼脸。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%8B,
[悲伤],失望但如释重负,通常用来表示压力大或者情绪不稳定，当有人向你提出过分的要求时，你可以使用它来暗示自己有一些勉强。也能表达一件事虽然糟糕，但是还不是最糟糕的情况。或是你的朋友正在经历一段辛苦的时间，你对他表示担心。也有轻微的挫折感和悲伤的意思，另外还可以用来表达对他人的安慰。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%AD,
[good],拇指向上,通常用来表示赞同或赞许的意思，也常表示很棒、厉害、干得漂亮。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%91%8D,
[打call],好崇拜哦,表示崇拜，热情或者强烈的喜欢；也可以用来表示一脸目瞪口呆、惊奇和兴奋。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%A4%A9,
[吐],呕吐,它一般表示身体上的不适，感到恶心想吐；也会用来表示经历了某些让人不舒服的事件后，心理上感到不适。在网络上还有一个“我吐了，你呢？”的梗，用来表示对某事、某言论、某现象，有极端反对、厌恶、恶心的情绪。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%A4%AE,
[拜拜],挥手,有时表示生气、无语时再也不想同对方说话或做朋友的含义，例如“拜拜了您内”、“快滚不送”、“双向删除谢谢”。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%91%8B,
[污],非礼勿视,它是不想看？不能看？还是不可以看？非礼勿视。它也表示看不见邪恶。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%99%88,
[黑线],苦笑,主要用来表示紧张或尴尬的情况，但也可以用来表达安慰的意思。常用于表示阴阳怪气。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%85,
[鼓掌],鼓掌,表示掌声或者鼓掌，也可以表达同意、赞成或庆祝的意思。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%91%8F,
[思考],想一想,有专注、思考、深思或质疑的意思。它一般用来表示“你说，我在听”，“你说的有点道理”，“是这样吗”的意思。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%A4%94,
[允悲],捂脸,表示对某件事无语或者无奈的心情；也表示对发生的事情感到尴尬羞耻。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%A4%A6,
[笑而不语],得意,那笑容中似乎还有着三分薄凉，三分讥笑，与四分漫不经心。可以用于使坏和调皮的场景，另一方面，由于官方还有给它赋予其他名字：Flirting和Sexual Face等等，所以这让它在更多的时候会用于跟你比较熟络的人，因为它会带有调情和性暗示方面的作用。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%8F,
[汗],汗,一般表示流汗的意思，也表现出有压力或担忧，或者带有轻微无语、汗颜的意思。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%93,
[并不简单],带单片眼镜的脸,它会表达出对某人某事某物的看法甚至是质疑，也能表达审视和检查的意思，或是单纯指希望看清某物。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%A7%90,
[哼],不高兴,传达出一些负面情绪，如不愉快、不满意、嫌弃或愤怒，它类似翻白眼、蕴含着“你仿佛在逗我”的意思。一般可能会用于面对那些嘲笑你的人，也可以用于对关系很好的人表达出鄙视的意思。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%92,
[doge],狗脸,通常指代狗这种动物，或者表示聪明、忠诚。网络用语大家喜欢用它来表示“舔狗”,https://www.emojiall.com/zh-hans/emoji/%F0%9F%90%B6,
[摊手],耸肩,表示对某件事情很无奈；也表示对一件事情漠不关心，毫不在意；还可以表示对某件事不清楚，不知道。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%A4%B7,
[憧憬],好崇拜哦,表示崇拜，热情或者强烈的喜欢；也可以用来表示一脸目瞪口呆、惊奇和兴奋。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%A4%A9,
[挤眼],单眼吐舌,可以表示搞笑，搞怪，开玩笑；也可以用来善意的逗弄某个人；或者表达一种阴阳怪气的调侃。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%9C,
[哆啦A梦吃惊],吃惊,它通常用来表达惊讶、震惊或印象深刻的意思。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%AE,
[衰],哭,表示伤心、难过、落泪,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%A2,
[中国赞],拇指向上,通常用来表示赞同或赞许的意思，也常表示很棒、厉害、干得漂亮。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%91%8D%EF%B8%8E,
[抱一抱],抱抱,它可以用来表示感谢、爱、关心、温暖、拥抱或者可爱。它也会被用来表示欢迎和喜爱,https://www.emojiall.com/zh-hans/emoji/%F0%9F%A4%97,
[兔子],兔子头,一般表示兔子，也可以表示复活节的兔子，它还可以表示复活节、可爱、养宠物的意思。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%90%B0,
[太开心],大笑,通常表示开心、大笑，也可以表示尴尬，但用笑脸掩盖。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%84,
[舔屏],花痴,一般表达爱、热爱、痴迷；或者是某些色色的不可告人的想法；也可以用来表示崇拜和感激。更带有情色和浪漫意味。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%8D,
[挖鼻],不高兴,传达出一些负面情绪，如不愉快、不满意、嫌弃或愤怒，它类似翻白眼、蕴含着“你仿佛在逗我”的意思。一般可能会用于面对那些嘲笑你的人，也可以用于对关系很好的人表达出鄙视的意思。,https://www.emojiall.com/zh-hans/emoji/%F0%9F%98%92,
